search_term,search_term_inferred,freq
Ragi,Ragi,13188
Bhindi,,13183
Pedigree ,Pedigree,13179
Karachi,Karachi,13174
atta,Atta,13171
Sugar free,Sugar Free,13146
Amul ghee,Amul Ghee,13128
Pasta,Pazzta,13090
Wipes,Wipes,13059
Cheet,Cheetos,12991
Chocolate ,Chocolates,12989
Gujiya,Gujiya,12957
Redbu,Red,12931
Uncle,Uncle,12925
Bhindi,Bhendi,12902
Mosquito,Mosquito,12901
Monster,Monster,12897
Lactose,Lactose,12875
Cranberry,Cranberry,12823
Green chill,Green Chilli,12788
Greek,Greek,12772
Suger,Sugar,12749
Veget,Vegetables,12716
Horlicks,Horlicks,12689
Gee,Ghee,12680
Masoor,Masoor Dal,12639
Lady,Lady's,12630
Wheel,Wheel,12625
Maggi,Magic,12616
Suga,Sugar,12596
Milk,Milk shakes,12586
Rooh,Roohafza,12553
Yogu,Yogurt,12518
Bisl,Bisleri,12509
Saffola,Saffola,12448
Pop corn,,12438
Carrot ,Carrot,12402
Ice creams,Ice Cream,12388
Real juice,Real Juice,12386
tea,Tea,12373
Frozen,Frozen Food,12372
Taj,Taj,12354
Macroni,Macaroni,12350
Peppy,Peppy,12342
Bread,Sweet Bread,12307
Bourn,Bournvita,12296
Whole truth,Whole Truth,12284
cake,Cake,12244
Monaco,Monaco,12199
coconut,Coconut,12192
Curry ,Curry,12187
Cornett,Cornetto,12180
Wai ,Wai,12174
Waterm,Watermelon,12120
Butter,Buttermilk,12110
Nice,Nice,12079
Almond,Almonds,12078
Cat,Cat,12077
Protein bar,Bar Protein,12062
Dorito,Doritos,12039
Pancake,Pancake,12010
Daal,Dal,12005
Tonic ,Tonic,11972
Basil,Basil,11956
Cig,King,11949
Apples,Apple,11948
Kisses,Kisses,11945
Yoga bar,Yoga bar,11938
Khakra,Khakhra,11935
Milkshake ,Milkshake,11923
Amul cream,Amul Cream,11919
Turmeric,Turmeric,11869
Cerelac,Cerelac,11837
Tropi,Tropicana,11817
Pizza ,Pizza,11802
Curry leaves,Curry Leaves,11802
Potato chips,Potato Chips,11796
Paratha,Parota,11745
Mush,Mushrooms,11730
Lemons,Lemon,11717
Amul cheese,Amul Cheese,11702
Dry fruits,Dried Fruits,11683
Redb,Red,11682
Coconut water ,Coconut Water,11682
Toast,Toastea,11664
Bourbon,Bourbon,11645
Classic,Classic,11627
poha,Poha,11543
Cheeto,Cheetos,11523
Chilli flakes,Chilli Flakes,11517
Pasta sauce,Pasta Sauce,11500
Kinley,Kinley,11480
Mentos,Mentos,11476
Gatorade,Gatorade,11458
Red chilli,Red Chilli,11449
Prin,Pringles,11433
Mayonnaise,Mayonnaise,11427
Cavins,Cavin's,11397
Yeast,Yeast,11385
Soda ,Soda,11373
Ritebite,RiteBite,11373
Kachi,Kachi,11358
Curds,Curd,11340
Salami,Salami,11336
salt,Salt,11323
Rava,,11322
Haldirams,Haldiram's,11319
Coria,Coriander,11315
Licious,Licious,11306
Cap,Capsicum,11304
Britannia,Britannia,11301
Bisler,Bisleri,11296
Vaseline,Vaseline,11284
Gulal,gulal,11280
Real ,Real,11260
Zero,Zero,11247
Cigarettes ,CLASSIC,11200
Pineapple,Pineapple,11192
Full cream,Full Cream,11190
Epigamia ,Epigamia,11151
Mirchi,Pacchi Mirapakaya,11144
Lauki,Lauki,11083
Mad angles,Mad Angles,11078
Fevi,Fevikwik,11075
Sofy,Sofy,11057
Rai,Organic,11056
Strawberry,Strawberry,11023
Peanuts,,11023
Gujia,Gujia,11016
Cold drink ,Soft Drink,11001
Good night,Good Knight,10983
Cup noodles ,Cup Noodles,10921
Protein ,Protein,10899
Chings,Ching's,10878
Chee,Cheese,10820
Mdh,MDH,10809
amul,Amul,10787
ginger,Ginger,10736
Lett,Lettuce,10729
Sooji,,10697
Matar,,10675
carrot,Carrot,10674
Sattu,Sattu,10655
Dosa ,Dosa,10624
Mush,Mushroom,10617
Channa,Chana,10607
Pumpkin,Pumpkin,10601
Vanish,Vanish,10588
Toilet roll,Toilet Roll,10584
oreo,Oreo,10584
Dish,Dishwash,10574
Mazaa,Maaza,10553
coffee,Coffee,10539
Hersheys,Hershey's,10528
Ginger garlic ,Ginger Garlic,10489
Tape,Tape,10487
Drum,Drumstick,10483
Cream cheese,Cream Cheese,10482
Moong ,Moong,10468
Custard,Custard,10465
Amul ice cream,Amul Ice Cream,10421
Agarbatti,Agarbatti,10420
Mayonnaise ,Mayonnaise,10410
Conditioner,Conditioner,10410
biscuit,Biscuits,10409
Cig,Kings,10408
Apple juice,Apple Juice,10401
Tur dal,Toor Dal,10397
Sunpure,Sunpure,10389
Nandini milk,Nandini Milk,10378
Sunflower Oil,Sunflower Oil,10374
Vinegar,Vinegar,10373
Tofu,Tofu,10371
Surf ,Surf,10368
Broco,Broccoli,10348
Litchi,Litchi,10340
Ezee,Ezee,10334
Orange juice,Orange Juice,10333
Buttermilk,Butter Milk & Lassi,10329
Maggi masala,Maggi Masala,10313
Dorit,Doritos,10303
Chaach,,10278
Biscu,Biscuits,10269
Lem,Lemon,10229
Rice flour,Rice Flour,10211
Ginger garlic paste,Ginger Garlic Paste,10194
Detol,Dettol,10176
Straw,Strawberry,10165
Malabar,Malabar,10124
Max,Max,10112
vim,Vim,10065
Tender coconut,Tender Coconut,10050
Puffcorn,Puffcorn,10049
Chees,Cheese,10049
Bean,Beans,10048
Refind,Refined,10004
Kheera,,9998
Maza,Maaza,9990
Wat,Water,9968
apple,Apple,9966
Chewing gum,Chewing gum,9960
vegetables,Vegetables,9933
Kabuli,Kabuli,9916
Biscui,Biscuits,9903
Cigarette,CLASSIC,9892
Act ,ACT,9891
Gato,Gatorade,9874
Senso,Sensodyne,9865
Mc cain,McCain,9861
Orsl,Orsl,9843
Tobacco,,9824
Hide ,Hide,9797
Max protein,Max Protein,9782
Apple ,Apple,9778
Burger bun,Burger Bun,9744
Cornflakes,Corn Flakes,9743
Boost,Boost,9739
popcorn,Popcorn,9732
oats,Oats,9730
Cat food,Food 1,9725
icecream,Icecream,9718
Kulfi,Kwality,9716
Dishwash,Dishwash,9710
Frui,Fruits,9682
Sundrop,Sundrop,9670
Vermi,Vermicelli,9655
Almonds,Almonds,9650
Pad,Pads,9641
Pringl,Pringles,9611
Tissue,,9609
Atta,24 Mantra,9594
Dark chocolate ,Dark Chocolate,9582
Frozen,Frozen Veg,9565
Peanut butter ,Peanut Butter,9561
Rice bran,Rice Bran,9553
Cornflour,Corn Flour,9548
Garbage bags,Garbage Bags,9520
Paan,Paan,9510
Coffe,Coffee,9488
Suji,Sooji,9469
Pea,Peas,9420
Gulaal,Gulal,9408
Yippee,Yippee,9407
pasta,Pasta,9385
Cheese spread,Cheese Spread,9378
Gold drop,Gold Drop,9350
buttermilk,Buttermilk,9342
Pooja,Pooja Needs,9328
Cake ,Cake,9328
Namak,,9314
Dhania,Dhania,9290
Rin ,Rin,9285
Spring ,Spring,9272
Cauliflower,Cauliflower,9251
Grap,Grapes,9232
Gulab jamun,Gulab Jamun,9225
Cavin,Cavin's,9189
Jaggery ,Jaggery,9184
Pav ,Pav,9183
Ten,Tender,9171
kurkure,Kurkure,9132
Arhar,Arhar,9123
Icecream,Icecream,9122
pepsi,Pepsi,9114
Sunflo,Sunflower,9112
Toned,Toned,9111
Soaps,Soaps,9088
Kwality walls,Kwality Wall's,9081
Nuggets,Nuggets,9079
Redbul,Red,9077
Methi,,9059
yogurt,Yogurt,9051
Refine,Refined,9051
Cornet,Cornetto,9028
Bru,BRU,9023
Parachute,Parachute,9009
Tomato puree,Tomato Puree,8993
Deo,Deodorant,8990
Kulfi,,8986
Hajmola,Hajmola,8984
Too yu,Too Yumm,8961
Hit,Hit,8942
Bingo ,Bingo,8939
Pen,Pen,8913
Glucon,Glucon D,8905
Radler,Radler,8891
Basmati ,Basmati,8890
Makhane,Makhana,8882
Mask,Mask,8878
Too ,Too,8872
Mineral water,Mineral Water,8869
Bread,Burger,8834
Ice cr,Ice Cream,8833
Cigarettes ,Gold Flake,8829
Diary milk,Dairy Milk,8828
Oreo ,Oreo,8827
Ashir,Aashirvaad,8826
Croissant,Croissant,8810
Must,Mustard,8806
Tender Coconut,Tender Coconut,8802
Black pepper,Black Pepper,8770
Chilly,Chilli,8767
Yipee,Yippee,8761
Dip,Dip,8744
Harpi,Harpic,8736
Museli,Muesli,8730
Pads,Pads,8729
Fruit ,Fruits,8728
Milk bikis,Milk Bikis,8716
Ramen,Ramen,8701
Masoor dal,Masoor Dal,8698
Savlon,Savlon,8688
Rava,Rawa,8686
Scotch,Scotch,8678
Orsl,ORSL,8664
Ging,Ginger,8658
Dark ,Dark,8658
Mushroom ,Mushrooms,8648
Banana chip,Banana Chips,8630
Gingerale,Ginger,8629
Mosquito ,Mosquito,8615
Pine,Pineapple,8609
Pepsi ,Pepsi,8598
Heritage,Heritage,8597
Coca ,Coca,8597
sprite,Sprite,8593
Kheera,Kheera,8583
Cad,Cadbury,8575
Pane,Paneer,8562
Black salt,Black Salt,8554
Protein bar,RiteBite Bar,8541
Chilli sauce,Chilli Sauce,8539
Cigarettes ,Marlboro,8508
Burger ,Burger,8492
Ketchup ,Ketchup,8484
Makhana ,Makhana,8475
Drainex,Dranex,8447
Atta,Ganesh,8443
Misti,Mishti,8440
frooti,Frooti,8431
Whisper ,Whisper,8393
Bisleri ,Bisleri,8389
Orange ,Orange,8386
Red bu,Red Bull,8366
Hand,Hand,8362
Agar,Agarbatti,8281
Pringle,Pringles,8273
Body lotion,Body Lotion,8271
Chutney,Chutney,8268
Tamatar,Tamatar,8242
Dhani,,8226
Switz,Switz,8223
Hersh,Hershey's,8198
Sabu,Sabudana,8170
Mustard ,Mustard,8167
Choco pie,Choco Pie,8159
